,Country
0,
1, Azerbaijan
2,Afghanistan
3,Albania
4,Algeria
5,Andorra
6,Angola
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,Bahamas
15,"Bahamas, The"
16,Bahrain
17,Bangladesh
18,Barbados
19,Belarus
20,Belgium
21,Belize
22,Benin
23,Bhutan
24,Bolivia
25,Bosnia and Herzegovina
26,Botswana
27,Brazil
28,Brunei
29,Bulgaria
30,Burkina Faso
31,Burma
32,Burundi
33,Cabo Verde
34,Cambodia
35,Cameroon
36,Canada
37,Cape Verde
38,Cayman Islands
39,Central African Republic
40,Chad
41,Channel Islands
42,Chile
43,China
44,Colombia
45,Congo (Brazzaville)
46,Congo (Kinshasa)
47,Costa Rica
48,Cote d'Ivoire
49,Croatia
50,Cruise Ship
51,Cuba
52,Curacao
53,Cyprus
54,Czechia
55,Denmark
56,Diamond Princess
57,Djibouti
58,Dominica
59,Dominican Republic
60,East Timor
61,Ecuador
62,Egypt
63,El Salvador
64,Equatorial Guinea
65,Eritrea
66,Estonia
67,Eswatini
68,Ethiopia
69,Faroe Islands
70,Fiji
71,Finland
72,France
73,French Guiana
74,Gabon
75,Gambia
76,"Gambia, The"
77,Georgia
78,Germany
79,Ghana
80,Gibraltar
81,Greece
82,Greenland
83,Grenada
84,Guadeloupe
85,Guam
86,Guatemala
87,Guernsey
88,Guinea
89,Guinea-Bissau
90,Guyana
91,Haiti
92,Holy See
93,Honduras
94,Hong Kong
95,Hong Kong SAR
96,Hungary
97,Iceland
98,India
99,Indonesia
100,Iran
101,Iran (Islamic Republic of)
102,Iraq
103,Ireland
104,Israel
105,Italy
106,Ivory Coast
107,Jamaica
108,Japan
109,Jersey
110,Jordan
111,Kazakhstan
112,Kenya
113,"Korea, South"
114,Kosovo
115,Kuwait
116,Kyrgyzstan
117,Laos
118,Latvia
119,Lebanon
120,Liberia
121,Libya
122,Liechtenstein
123,Lithuania
124,Luxembourg
125,Macao SAR
126,Macau
127,Madagascar
128,Malawi
129,Malaysia
130,Maldives
131,Mali
132,Malta
133,Martinique
134,Mauritania
135,Mauritius
136,Mayotte
137,Mexico
138,Moldova
139,Monaco
140,Mongolia
141,Montenegro
142,Morocco
143,Mozambique
144,MS Zaandam
145,Namibia
146,Nepal
147,Netherlands
148,New Zealand
149,Nicaragua
150,Niger
151,Nigeria
152,North Ireland
153,North Macedonia
154,Norway
155,occupied Palestinian territory
156,Oman
157,Others
158,Pakistan
159,Palestine
160,Panama
161,Papua New Guinea
162,Paraguay
163,Peru
164,Philippines
165,Poland
166,Portugal
167,Puerto Rico
168,Qatar
169,Republic of Ireland
170,Republic of Korea
171,Republic of Moldova
172,Republic of the Congo
173,Reunion
174,Romania
175,Russia
176,Russian Federation
177,Rwanda
178,Saint Barthelemy
179,Saint Kitts and Nevis
180,Saint Lucia
181,Saint Martin
182,Saint Vincent and the Grenadines
183,San Marino
184,Saudi Arabia
185,Senegal
186,Serbia
187,Seychelles
188,Sierra Leone
189,Singapore
190,Slovakia
191,Slovenia
192,Somalia
193,South Africa
194,South Korea
195,Spain
196,Sri Lanka
197,St. Martin
198,Sudan
199,Suriname
200,Sweden
201,Switzerland
202,Syria
203,Taipei and environs
204,Taiwan
205,Taiwan*
206,Tanzania
207,Thailand
208,The Bahamas
209,The Gambia
210,Timor-Leste
211,Togo
212,Trinidad and Tobago
213,Tunisia
214,Turkey
215,Uganda
216,Ukraine
217,United Arab Emirates
218,United Kingdom
219,Uruguay
220,US
221,Uzbekistan
222,Vatican City
223,Venezuela
224,Viet Nam
225,Vietnam
226,West Bank and Gaza
227,Zambia
228,Zimbabwe
